"","State","postal.code","population.delta","pop2010","urban.2008","undeveloped.2008","ag.2008","urban.2019","undeveloped.2019","ag.2019","delta.urban","delta.undeveloped","delta.ag","Year.x.x","fertilizer.dollars.2007","Year.y.x","fertilizer.dollars.2017","delta.fertilizer","Year.x.y","feed.dollars.2007","Year.y.y","feed.dollars.2017","delta.animal.feed"
"1","ALABAMA","AL",123449,4779736,4834815,107824825,26344315,5253513,108246524,25579645,418698,421699,-764670,2007,253332000,2017,382206000,128874000,2007,3219677000,2017,3626394000,406717000
"2","ARIZONA","AZ",886700,6392017,4558407,313037815,5685476,5009317,312508633,5776500,450910,-529182,91024,2007,298584000,2017,385799000,87215000,2007,1195538000,2017,1752083000,556545000
"3","ARKANSAS","AR",101886,2915918,4204951,88054994,51455397,4681120,88237615,51050566,476169,182621,-404831,2007,764752000,2017,956695000,191943000,2007,4047221000,2017,4266896000,219675000
"4","CALIFORNIA","CA",2258267,37253956,18346910,372383527,45404951,19228976,370457863,46248595,882066,-1925664,843644,2007,2683307000,2017,4492836000,1809529000,2007,8548273000,2017,10254860000,1706587000
"5","COLORADO","CO",729540,5029196,4015461,251663719,38491505,4387450,249099517,40624894,371989,-2564202,2133389,2007,303375000,2017,461042000,157667000,2007,2442731000,2017,3695378000,1252647000
"6","CONNECTICUT","CT",-8810,3574097,2201658,9383673,772532,2298845,9326902,761160,97187,-56771,-11372,2007,22853000,2017,27808000,4955000,2007,110590000,2017,103975000,-6615000
"7","DELAWARE","DE",75830,897934,653727,2148554,2301599,718985,2137952,2246873,65258,-10602,-54726,2007,58812000,2017,76385000,17573000,2007,832736000,2017,737674000,-95062000
"8","FLORIDA","FL",2676427,18801310,12907280,100161407,29045127,14100282,99823050,28618502,1193002,-338357,-426625,2007,815844000,2017,1127481000,311637000,2007,1095897000,2017,1224530000,128633000
"9","GEORGIA","GA",929770,9687653,8326599,116234534,31824140,9034111,116075560,31368062,707512,-158974,-456078,2007,603986000,2017,862698000,258712000,2007,4240183000,2017,4514673000,274490000
"10","IDAHO","ID",219483,1567582,1799914,208231531,25377653,1978092,207164302,26163396,178178,-1067229,785743,2007,530267000,2017,793936000,263669000,2007,2275815000,2017,3588671000,1312856000
"11","ILLINOIS","IL",-158811,12830632,12467677,28270751,112780870,12898125,28408834,112425298,430448,138083,-355572,2007,2212364000,2017,3062995000,850631000,2007,1386941000,2017,2053940000,666999000
"12","INDIANA","IN",248417,6483802,6376983,27309170,64259406,6940887,27392908,63864939,563904,83738,-394467,2007,1262009000,2017,1654613000,392604000,2007,2184133000,2017,2803201000,619068000
"13","IOWA","IA",108715,3046355,5666177,18862932,131172153,6201051,18830244,130989425,534874,-32688,-182728,2007,1962936000,2017,3019931000,1056995000,2007,6117978000,2017,9887601000,3769623000
"14","KANSAS","KS",60196,2853118,4640206,97586585,125462957,4994850,95209398,127638047,354644,-2377187,2175090,2007,1198722000,2017,1828650000,629928000,2007,4410021000,2017,6127755000,1717734000
"15","KENTUCKY","KY",128306,4339367,3832434,64993285,39786870,4189028,65250266,39266152,356594,256981,-520718,2007,409518000,2017,634779000,225261000,2007,1566767000,2017,1569141000,2374000
"16","LOUISIANA","LA",115422,4533372,5896817,81045604,30018941,6408406,82019574,29524124,511589,973970,-494817,2007,407822000,2017,550603000,142781000,2007,739953000,2017,541740000,-198213000
"17","MAINE","ME",15851,1328361,1873833,79800303,3350170,2007628,79818385,3318564,133795,18082,-31606,2007,44636000,2017,53779000,9143000,2007,176621000,2017,142428000,-34193000
"18","MARYLAND","MD",272128,5773552,2739249,13174516,8239921,2912872,13120771,8134060,173623,-53745,-105861,2007,149165000,2017,199049000,49884000,2007,912819000,2017,1078189000,165370000
"19","MASSACHUSETTS","MA",344874,6547629,4325318,15158297,1095441,4506731,15041879,1072971,181413,-116418,-22470,2007,27278000,2017,34142000,6864000,2007,90225000,2017,85199000,-5026000
