"state","site","date","nh4","nh4.flag","no3","no3.flag","tp","tp.flag","tn","tn.flag","site.type","order","weight","lat","lon","nh4_bdl_flag","no3_bdl_flag","tn_bdl_flag","tp_bdl_flag"
"TX","FW08TX012",2009-10-13,331,"",761.55,"",176.325,"",1301,"","PROB",7,1540.471864,35.7675098,-101.322332,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX012",2009-06-24,409,"H",210.51,"",205.6675,"",1113,"","PROB",7,1540.471864,35.7675098,-101.322332,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX061",2009-08-27,81,"",97.79,"",168.7619,"",1236,"","PROB",6,551.0051681,33.29423969,-94.05901694,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX066",2009-08-06,0,"R",180.98,"",22.3388,"",216,"","PROB",5,311.7779386,29.44390726,-99.99400813,TRUE,FALSE,FALSE,FALSE
"TX","FW08TX064",2009-10-15,93,"",1137.66,"",412.4313,"",1784,"","PROB",5,311.7779386,32.92485108,-99.50661948,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX046",2009-09-17,10,"R",243.94,"",68.7413,"",1068,"","PROB",7,417.6638536,31.77034478,-103.7792891,TRUE,FALSE,FALSE,FALSE
"TX","FW08TX033",2009-06-25,6.7,"HR",36.22,"",61.2081,"",426,"","PROB",7,263.2570299,35.97240799,-100.8243878,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX030",2009-08-20,84,"",716.45,"",411.1588,"",1330,"","PROB",8,384.0621182,25.84893298,-97.43996032,FALSE,FALSE,FALSE,FALSE
"TX","FW08TX015",2009-10-14,11,"R",0,"R",89.04,"",558,"","PROB",5,1137.719239,33.10875253,-99.44199414,TRUE,TRUE,FALSE,FALSE
"TX","FW08TX015",2009-07-08,18,"R",4.23,"R",148.715,"",966,"","PROB",5,1137.719239,33.10875253,-99.44199414,TRUE,TRUE,FALSE,FALSE
"TX","FW08TX065",2009-06-23,15,"HR",79.22,"",310.4413,"",654,"","PROB",7,263.2570299,35.45113932,-102.0050532,FALSE,FALSE,FALSE,FALSE
