"","PC1","PC2","State"
"sit1",-0.192309369974942,0.69759402783944,"AL"
"sit2",-0.125878695941117,0.510322129209413,"AR"
"sit3",-0.0721379108368701,-0.16455941985941,"AZ"
"sit4",0.253372489152862,-0.316892778486475,"CA"
"sit5",0.686435737746783,-0.590445633532888,"CO"
"sit6",-0.53261887708349,-0.428431650526195,"CT"
"sit7",-1.9758359063571,-1.36305357064464,"DE"
"sit8",-0.949365063263167,-0.751650570306803,"FL"
"sit9",-0.277514880199165,0.138687732041482,"GA"
"sit10",0.617782208656704,0.842288673419474,"IA"
"sit11",0.873086899596725,-0.203426213166711,"ID"
"sit12",0.124723732920529,0.555939211224161,"IL"
"sit13",-0.198742356715537,0.35876708486538,"IN"
"sit14",0.786135189060979,-0.148078332829676,"KS"
"sit15",-0.209762070030878,0.573007935066396,"KY"
"sit16",-0.480768793360148,0.667805745563535,"LA"
"sit17",-0.898703198663779,-0.970688937534748,"MA"
"sit18",-0.486020740742723,-0.139237708643326,"MD"
"sit19",0.0605244329201633,0.495180125031688,"ME"
"sit20",0.167752692023868,0.477692201195331,"MI"
"sit21",0.151875630216874,0.612494476325198,"MN"
"sit22",-0.00438364225565796,0.651615316888974,"MO"
"sit23",-0.512296937530991,0.808743417353293,"MS"
"sit24",1.18292649891484,-1.07166954683546,"MT"
"sit25",-0.560378716001549,-0.292426471020278,"NC"
"sit26",1.19766718060771,-1.5596524324447,"ND"
"sit27",1.03405094792711,-0.28693887539573,"NE"
"sit28",-0.178312140022105,0.15855898816554,"NH"
"sit29",-0.809883055227709,-0.609949610978815,"NJ"
"sit30",0.347195130851343,0.243902404191552,"NM"
"sit31",-0.0509308632881726,-0.379329013428587,"NV"
"sit32",-0.26572941909009,0.287051922210328,"NY"
"sit33",-0.148538435616837,0.509453081804538,"OH"
"sit34",0.330125735254332,-0.0920578549460538,"OK"
"sit35",0.212600883144773,0.354508824400278,"OR"
"sit36",-0.127403354960589,0.260109649230612,"PA"
"sit37",-0.449040282122718,-0.555490734935682,"RI"
"sit38",-0.50321679057325,-0.0817466958973855,"SC"
"sit39",1.2158287357585,-0.923379790935495,"SD"
"sit40",0.225354317979847,0.63627004356539,"TN"
"sit41",-0.0859812887250502,-0.321315987737709,"TX"
"sit42",0.0431116395781702,-0.431507288559913,"UT"
"sit43",-0.248422508624059,0.211463079413343,"VA"
"sit44",-0.00270717002851486,0.577722598788623,"VT"
"sit45",0.246225569680749,-0.368208049675093,"WA"
"sit46",0.170475935825314,0.732383382726526,"WI"
"sit47",0.0415627883137165,0.461504844717586,"WV"
"sit48",0.378068091104304,0.227070273083695,"WY"
