"","nutrient_type","variable","value"
"1","Lake TN","ag",86.2707138314069
"2","Lake TN","ag",16.6546803360716
"3","Lake TN","ag",58.774113182171
"4","Lake TN","ag",22.5668776134833
"5","Lake TN","ag",87.2008107320386
"6","Lake TN","ag",-13.1879134077482
"7","Lake TN","ag",23.4881032747265
"8","Lake TN","ag",76.2670198171879
"9","Lake TN","ag",29.2108180093894
"10","Lake TN","ag",94.5059531010151
"11","Lake TN","ag",34.6538427434212
"12","Lake TN","ag",23.5364436231739
"13","Lake TN","ag",-34.4453929673037
"14","Lake TN","ag",58.0303833159299
"15","Lake TN","ag",23.6288148526185
"16","Lake TN","ag",59.8765702768716
"17","Lake TN","ag",40.1435395492927
"18","Lake TN","ag",32.8619471068391
"19","Lake TN","ag",20.8365590335929
"20","Lake TN","ag",22.073959216569
"21","Lake TN","ag",24.8075893432375
"22","Lake TN","ag",94.3239117721285
"23","Lake TN","ag",3.61229644885565
"24","Lake TN","ag",52.2337475921809
"25","Lake TN","ag",42.6175233818084
"26","Lake TN","ag",126.037691409734
"27","Lake TN","ag",30.0692182039434
"28","Lake TN","ag",56.6066291154167
"29","Lake TN","ag",-67.5600504369814
"30","Lake TN","ag",-39.1580120694205
"31","Lake TN","ag",62.0905223682335
"32","Lake TN","ag",-123.002242206328
"33","Lake TN","ag",79.1464256120078
"34","Lake TN","ag",149.396431089601
"35","Lake TN","ag",67.9715834286007
"36","Lake TN","ag",-121.380324641787
"37","Lake TN","ag",86.4350472793237
"38","Lake TN","ag",107.714468343212
"39","Lake TN","ag",71.5912866963152
"40","Lake TN","ag",-12.6937614342294
"41","Lake TN","ag",45.1084053962731
"42","Lake TN","ag",123.166076301339
"43","Lake TN","ag",-0.35723687566006
"44","Lake TN","ag",21.2728957729896
"45","Lake TN","ag",73.1596161038045
"46","Lake TN","ag",-14.7359259621335
"47","Lake TN","ag",27.2307563721692
"48","Lake TN","ag",113.802808861482
"49","Lake TN","ag",-23.4474806179006
"50","Lake TN","ag",99.3745690016452
"51","Lake TN","ag",83.1577398233597
"52","Lake TN","ag",92.3532463867759
"53","Lake TN","ag",-2.73634921525121
"54","Lake TN","ag",-0.718990031864521
"55","Lake TN","ag",-15.0943553392429
"56","Lake TN","ag",20.3928247004249
"57","Lake TN","ag",43.9816929590895
"58","Lake TN","ag",10.8408469155313
"59","Lake TN","ag",-34.7376208376107
"60","Lake TN","ag",93.070548357879
"61","Lake TN","ag",96.389437164562
"62","Lake TN","ag",108.404740567849
"63","Lake TN","ag",78.6227088938377
"64","Lake TN","ag",128.604257250908
"65","Lake TN","ag",63.4268236567613
"66","Lake TN","ag",70.1607724549841
"67","Lake TN","ag",99.1731838081587
"68","Lake TN","ag",40.9290259059754
"69","Lake TN","ag",102.795610468137
"70","Lake TN","ag",90.0845752416402
"71","Lake TN","ag",53.4910260197322
"72","Lake TN","ag",23.7649971481332
"73","Lake TN","ag",50.9490360484283
"74","Lake TN","ag",-36.4899514307546
"75","Lake TN","ag",-18.2237412599408
"76","Lake TN","ag",32.0981070212943
"77","Lake TN","ag",92.9917974573333
"78","Lake TN","ag",88.8822625177994
"79","Lake TN","ag",-33.1946348674238
"80","Lake TN","ag",33.6669454175969
"81","Lake TN","ag",30.0460926015888
"82","Lake TN","ag",85.6558105027803
"83","Lake TN","ag",55.8646236245526
"84","Lake TN","ag",99.4257774505154
"85","Lake TN","ag",64.5350322474432
"86","Lake TN","ag",-15.1518934793006
"87","Lake TN","ag",99.7941969877473
"88","Lake TN","ag",0.511010199638793
"89","Lake TN","ag",36.627253899209
"90","Lake TN","ag",4.89290733966964
"91","Lake TN","ag",-4.50598800708257
"92","Lake TN","ag",9.16079927808589
"93","Lake TN","ag",1.78673591149627
"94","Lake TN","ag",-0.683995865231896
"95","Lake TN","ag",38.1958223122166
"96","Lake TN","ag",38.684168910189
"97","Lake TN","ag",109.424523740316
"98","Lake TN","ag",24.91195701036
"99","Lake TN","ag",95.1898677304256
"100","Lake TN","ag",61.2311844518781
"101","Lake TN","ag",4.63359745586424
"102","Lake TN","ag",41.2873820394382
"103","Lake TN","ag",45.9167961733986
"104","Lake TN","ag",56.9930653748793
"105","Lake TN","ag",-18.4641622226858
"106","Lake TN","ag",63.5577599359341
"107","Lake TN","ag",29.8832153414645
"108","Lake TN","ag",22.2806386652851
"109","Lake TN","ag",18.5602090641694
"110","Lake TN","ag",4.1687947877002
"111","Lake TN","ag",-11.7205361684504
"112","Lake TN","ag",25.7446999067808
"113","Lake TN","ag",108.639118200346
"114","Lake TN","ag",-33.829322858124
"115","Lake TN","ag",-3.36054916224785
"116","Lake TN","ag",105.021908647044
"117","Lake TN","ag",104.207722810137
"118","Lake TN","ag",57.75547941761
"119","Lake TN","ag",39.1426735695167
"120","Lake TN","ag",79.2674625959291
"121","Lake TN","ag",-1.55861947685283
"122","Lake TN","ag",65.7968225764825
"123","Lake TN","ag",28.5006555909499
"124","Lake TN","ag",-6.30936367553103
"125","Lake TN","ag",22.893241296359
"126","Lake TN","ag",90.4625634981818
"127","Lake TN","ag",64.4205470724697
"128","Lake TN","ag",20.1774513704634
"129","Lake TN","ag",31.8427837215079
"130","Lake TN","ag",9.62137436626848
"131","Lake TN","ag",18.2773633187811
"132","Lake TN","ag",71.3541760978998
"133","Lake TN","ag",103.374222182289
"134","Lake TN","ag",56.5645323435209
"135","Lake TN","ag",-44.5819233717323
"136","Lake TN","ag",-14.5067402362395
"137","Lake TN","ag",79.1357185860935
"138","Lake TN","ag",31.6881355797743
"139","Lake TN","ag",25.9311584385659
"140","Lake TN","ag",76.5882705120566
"141","Lake TN","ag",41.2825225317125
"142","Lake TN","ag",69.7694411393294
"143","Lake TN","ag",16.9630552001249
"144","Lake TN","ag",62.3051325453036
"145","Lake TN","ag",-5.74430478535282
"146","Lake TN","ag",49.7974253547524
"147","Lake TN","ag",-20.6142981461101
"148","Lake TN","ag",-49.8186440344697
"149","Lake TN","ag",15.0275816282945
"150","Lake TN","ag",10.9203354167571
"151","Lake TN","ag",77.3127577669338
"152","Lake TN","ag",58.9016207665969
"153","Lake TN","ag",47.8143545927183
"154","Lake TN","ag",-10.291394257351
"155","Lake TN","ag",49.429869603601
"156","Lake TN","ag",6.4997686183013
"157","Lake TN","ag",50.3003475592262
"158","Lake TN","ag",-21.7037901605419
"159","Lake TN","ag",8.47033937036222
"160","Lake TN","ag",104.736586943802
"161","Lake TN","ag",-10.833012929519
"162","Lake TN","ag",90.7686531134515
"163","Lake TN","ag",-3.50082995375128
"164","Lake TN","ag",51.6623384754922
"165","Lake TN","ag",81.2385811240052
"166","Lake TN","ag",105.999930432133
"167","Lake TN","ag",40.2000353740036
"168","Lake TN","ag",-13.62155128532
"169","Lake TN","ag",25.7128406932017
"170","Lake TN","ag",-23.3620967881637
"171","Lake TN","ag",69.7207825490454
"172","Lake TN","ag",64.303136077841
"173","Lake TN","ag",35.9791963886922
"174","Lake TN","ag",21.9397695653808
"175","Lake TN","ag",54.5738159987286
"176","Lake TN","ag",10.1243611093858
"177","Lake TN","ag",32.1531383235905
"178","Lake TN","ag",52.473595906723
"179","Lake TN","ag",52.3740820888103
"180","Lake TN","ag",70.2508131274306
"181","Lake TN","ag",-109.777034060641
"182","Lake TN","ag",74.6151780295606
"183","Lake TN","ag",15.4369088607405
"184","Lake TN","ag",71.9149499353928
"185","Lake TN","ag",38.2694293889424
"186","Lake TN","ag",-8.10427369849381
"187","Lake TN","ag",-38.6239907317105
"188","Lake TN","ag",-43.4809913494407
"189","Lake TN","ag",31.8504445694141
"190","Lake TN","ag",39.8332831922437
"191","Lake TN","ag",4.12974549914579
"192","Lake TN","ag",12.3942270412102
"193","Lake TN","ag",-8.41366700588853
"194","Lake TN","ag",46.6742522158768
"195","Lake TN","ag",154.443672839329
"196","Lake TN","ag",38.2728568848325
"197","Lake TN","ag",31.9600921875202
"198","Lake TN","ag",-40.1367325563554
"199","Lake TN","ag",-37.0863669469833
"200","Lake TN","ag",32.0552481453341
"201","Lake TN","ag",-45.6018942120537
"202","Lake TN","ag",47.0833166273106
"203","Lake TN","ag",25.903091357659
"204","Lake TN","ag",-7.78460952960191
"205","Lake TN","ag",46.4503165904307
"206","Lake TN","ag",-29.1449146620936
"207","Lake TN","ag",14.3430337652472
"208","Lake TN","ag",23.9337485293257
"209","Lake TN","ag",49.6396923587821
"210","Lake TN","ag",-23.8566399794166
"211","Lake TN","ag",47.1624485893026
"212","Lake TN","ag",56.7900811515136
"213","Lake TN","ag",15.6172867396423
"214","Lake TN","ag",-44.6019793100486
"215","Lake TN","ag",94.0239197476488
"216","Lake TN","ag",36.38495189577
"217","Lake TN","ag",-109.987171679197
"218","Lake TN","ag",-116.884887342316
"219","Lake TN","ag",-93.8220750717827
"220","Lake TN","ag",47.5721221972205
"221","Lake TN","ag",149.6431713732
"222","Lake TN","ag",-20.4097095037111
"223","Lake TN","ag",-28.563165047433
"224","Lake TN","ag",60.551614243025
"225","Lake TN","ag",66.6813141111527
"226","Lake TN","ag",-15.644738329075
"227","Lake TN","ag",42.9957536568109
"228","Lake TN","ag",49.9767986204648
"229","Lake TN","ag",46.1330292282442
"230","Lake TN","ag",49.2961252434951
"231","Lake TN","ag",14.2822615509385
"232","Lake TN","ag",103.861146389632
"233","Lake TN","ag",45.6510182050173
"234","Lake TN","ag",16.6454823043798
"235","Lake TN","ag",86.2092599415924
"236","Lake TN","ag",-12.7261348846753
"237","Lake TN","ag",151.515137475078
"238","Lake TN","ag",128.776324231541
"239","Lake TN","ag",-12.3252950817263
"240","Lake TN","ag",89.7495815685725
"241","Lake TN","ag",27.2295814174621
"242","Lake TN","ag",98.5251593486063
"243","Lake TN","ag",40.1954545321647
"244","Lake TN","ag",35.3428205317376
"245","Lake TN","ag",-4.2492313578206
"246","Lake TN","ag",19.1426809860123
"247","Lake TN","ag",119.762873210825
"248","Lake TN","ag",84.9385452636301
"249","Lake TN","ag",83.7852678624575
"250","Lake TN","ag",-26.6893071765663
"251","Lake TN","ag",-3.19256987083961
"252","Lake TN","ag",80.2617947720851
"253","Lake TN","ag",1.38649945890734
"254","Lake TN","ag",40.1927114638272
"255","Lake TN","ag",-20.0360726597219
"256","Lake TN","ag",15.3828256672206
"257","Lake TN","ag",-21.8602313034891
"258","Lake TN","ag",-5.27249458488721
"259","Lake TN","ag",-59.0125224375559
"260","Lake TN","ag",155.037423375724
"261","Lake TN","ag",73.1131189154381
"262","Lake TN","ag",-58.6810936157901
"263","Lake TN","ag",56.593443927854
"264","Lake TN","ag",106.380132818044
"265","Lake TN","ag",53.8064004339163
"266","Lake TN","ag",164.36533685076
"267","Lake TN","ag",12.8358250798531
"268","Lake TN","ag",52.8448021733558
"269","Lake TN","ag",27.8477792620037
"270","Lake TN","ag",46.4291154928646
"271","Lake TN","ag",158.869432125692
"272","Lake TN","ag",-23.5488099954767
"273","Lake TN","ag",94.4006926187025
"274","Lake TN","ag",74.5126638039465
"275","Lake TN","ag",5.16319566167354
"276","Lake TN","ag",-2.23109554485008
"277","Lake TN","ag",53.4958819685886
"278","Lake TN","ag",64.6121346850411
"279","Lake TN","ag",-19.0489578376009
"280","Lake TN","ag",-76.5487664649795
"281","Lake TN","ag",75.4601943671084
"282","Lake TN","ag",88.4463970387758
"283","Lake TN","ag",87.3041372451684
"284","Lake TN","ag",2.92658167837048
"285","Lake TN","ag",-18.3456102281889
"286","Lake TN","ag",60.525466060202
"287","Lake TN","ag",89.6917435162254
"288","Lake TN","ag",44.46584470854
"289","Lake TN","ag",136.613049752527
"290","Lake TN","ag",43.1989415433615
"291","Lake TN","ag",15.3255700411844
"292","Lake TN","ag",7.57574952633708
"293","Lake TN","ag",67.9560148091345
"294","Lake TN","ag",32.2108236156187
"295","Lake TN","ag",-8.57854767094344
"296","Lake TN","ag",25.7425638606884
"297","Lake TN","ag",-2.44355719243767
"298","Lake TN","ag",60.2650459913121
"299","Lake TN","ag",58.6804965565261
"300","Lake TN","ag",47.3876465632606
"301","Lake TN","ag",36.0811478749283
"302","Lake TN","ag",81.1143580389822
"303","Lake TN","ag",82.6281732419946
"304","Lake TN","ag",-20.7354471144527
"305","Lake TN","ag",57.5333753416659
"306","Lake TN","ag",88.0094290029747
"307","Lake TN","ag",34.3520608885658
"308","Lake TN","ag",47.7431114332762
"309","Lake TN","ag",35.3321537668136
"310","Lake TN","ag",-25.8780526798635
"311","Lake TN","ag",78.296982229827
"312","Lake TN","ag",-1.97847120790082
"313","Lake TN","ag",6.26854229902643
"314","Lake TN","ag",71.3105269315403
"315","Lake TN","ag",128.080531670618
"316","Lake TN","ag",37.9653757090573
"317","Lake TN","ag",-34.1179500524116
"318","Lake TN","ag",114.112724610305
"319","Lake TN","ag",26.4187495066453
"320","Lake TN","ag",50.1989289162834
"321","Lake TN","ag",64.9861420090083
"322","Lake TN","ag",79.9124754809253
"323","Lake TN","ag",0.104512321837528
"324","Lake TN","ag",-84.217793840392
"325","Lake TN","ag",-85.1926049102466
"326","Lake TN","ag",34.6765394856725
"327","Lake TN","ag",81.2141810526438
"328","Lake TN","ag",29.4106659530371
"329","Lake TN","ag",-11.3741957704027
"330","Lake TN","ag",99.4550908409932
"331","Lake TN","ag",161.760009239246
"332","Lake TN","ag",31.7974572840386
"333","Lake TN","ag",41.9456527486614
"334","Lake TN","ag",13.8809767640619
"335","Lake TN","ag",116.315993642813
"336","Lake TN","ag",71.0068513335001
"337","Lake TN","ag",25.3577978386033
"338","Lake TN","ag",-17.4154641173113
"339","Lake TN","ag",44.6425576072201
"340","Lake TN","ag",29.5515749915278
"341","Lake TN","ag",27.2713601659822
"342","Lake TN","ag",-23.8667132901362
"343","Lake TN","ag",0.640666661987154
"344","Lake TN","ag",44.2019302806125
"345","Lake TN","ag",-7.94801598702562
"346","Lake TN","ag",49.774118040959
"347","Lake TN","ag",58.2832713226948
"348","Lake TN","ag",10.6214729561397
"349","Lake TN","ag",28.080401362104
"350","Lake TN","ag",75.8892313202036
"351","Lake TN","ag",119.353800060673
"352","Lake TN","ag",77.3486156529046
"353","Lake TN","ag",-14.9801332872623
"354","Lake TN","ag",16.7075810160934
"355","Lake TN","ag",41.0919875387343
"356","Lake TN","ag",69.3936866437321
"357","Lake TN","ag",-33.6951984987081
"358","Lake TN","ag",7.07642554564381
"359","Lake TN","ag",77.7555482604195
"360","Lake TN","ag",51.2970382482991
"361","Lake TN","ag",-6.04793130219027
"362","Lake TN","ag",69.9112619703525
"363","Lake TN","ag",33.6979819278185
"364","Lake TN","ag",25.6520470748433
"365","Lake TN","ag",104.279321332237
"366","Lake TN","ag",166.785262667566
"367","Lake TN","ag",-54.6301287329482
"368","Lake TN","ag",-30.78204902456
"369","Lake TN","ag",0.019766343750252
"370","Lake TN","ag",15.2494596428237
"371","Lake TN","ag",55.1502436401775
"372","Lake TN","ag",26.3288135833873
"373","Lake TN","ag",19.6789426909351
"374","Lake TN","ag",53.2547907692673
"375","Lake TN","ag",84.771307051462
"376","Lake TN","ag",144.756185664063
"377","Lake TN","ag",23.6499740876871
"378","Lake TN","ag",18.5708957129782
"379","Lake TN","ag",32.6860133125283
"380","Lake TN","ag",106.439689918609
"381","Lake TN","ag",90.0688586237306
"382","Lake TN","ag",2.84506262931231
"383","Lake TN","ag",80.9342836885353
"384","Lake TN","ag",-12.3648296278567
"385","Lake TN","ag",24.3570566745552
"386","Lake TN","ag",-28.060409430177
"387","Lake TN","ag",101.905122350605
"388","Lake TN","ag",-2.20474371254204
"389","Lake TN","ag",40.6985948244195
"390","Lake TN","ag",93.7013032340594
"391","Lake TN","ag",45.7907873191927
"392","Lake TN","ag",70.4799246321192
"393","Lake TN","ag",-5.87187487477735
"394","Lake TN","ag",60.1424495248616
"395","Lake TN","ag",50.4419129664857
"396","Lake TN","ag",45.8754186747874
"397","Lake TN","ag",105.057601096752
"398","Lake TN","ag",-60.0964910756041
"399","Lake TN","ag",51.9988788095521
"400","Lake TN","ag",-8.17459950983456
