"","policy","nutreint_type","variable","value"
"1","tmdl","Lake TN","new_value",-38.6264494820778
"2","319","Lake TN","new_value",-0.0015264670016811
"3","criteria","Lake TN","new_value",11.931008425608
"4","tmdl","Lake TN","new_value",-15.0737090585854
"5","319","Lake TN","new_value",0.00791478013632967
"6","criteria","Lake TN","new_value",0.425660121934378
"7","tmdl","Lake TN","new_value",75.7562906095592
"8","319","Lake TN","new_value",-0.00729246095868305
"9","criteria","Lake TN","new_value",3.88083332237661
"10","tmdl","Lake TN","new_value",-28.5122420480803
"11","319","Lake TN","new_value",-0.00527863580219659
"12","criteria","Lake TN","new_value",-4.91674729172346
"13","tmdl","Lake TN","new_value",29.5556519325975
"14","319","Lake TN","new_value",0.0088184924759557
"15","criteria","Lake TN","new_value",-6.99667308312969
"16","tmdl","Lake TN","new_value",-45.9032718012422
"17","319","Lake TN","new_value",0.0192692040632231
"18","criteria","Lake TN","new_value",-9.12537496734646
"19","tmdl","Lake TN","new_value",-0.178899172770608
"20","319","Lake TN","new_value",-0.00447581289642824
"21","criteria","Lake TN","new_value",-4.96805398480692
"22","tmdl","Lake TN","new_value",-17.4682828809854
"23","319","Lake TN","new_value",0.00191481651229796
"24","criteria","Lake TN","new_value",5.81212901668003
"25","tmdl","Lake TN","new_value",14.5854139158388
"26","319","Lake TN","new_value",0.000785899787547532
"27","criteria","Lake TN","new_value",12.1589930072548
"28","tmdl","Lake TN","new_value",69.7909094615873
"29","319","Lake TN","new_value",-0.00385868237897643
"30","criteria","Lake TN","new_value",7.75040633534843
"31","tmdl","Lake TN","new_value",28.063604023118
"32","319","Lake TN","new_value",0.00676711136921387
"33","criteria","Lake TN","new_value",11.8136457850696
"34","tmdl","Lake TN","new_value",-64.0338005440964
"35","319","Lake TN","new_value",-0.00169231362433373
"36","criteria","Lake TN","new_value",6.66368383758723
"37","tmdl","Lake TN","new_value",39.4096064229756
"38","319","Lake TN","new_value",-0.0030087894528878
"39","criteria","Lake TN","new_value",6.54843260902839
"40","tmdl","Lake TN","new_value",-74.8253141807776
"41","319","Lake TN","new_value",-0.0251253140189646
"42","criteria","Lake TN","new_value",0.778656824274768
"43","tmdl","Lake TN","new_value",81.3877488879621
"44","319","Lake TN","new_value",0.00352726101755131
"45","criteria","Lake TN","new_value",3.47163999183577
"46","tmdl","Lake TN","new_value",67.5550112752977
"47","319","Lake TN","new_value",-0.00378728299952508
"48","criteria","Lake TN","new_value",6.14343012114926
"49","tmdl","Lake TN","new_value",77.7809921270131
"50","319","Lake TN","new_value",0.00846736430831587
"51","criteria","Lake TN","new_value",1.16854815388353
"52","tmdl","Lake TN","new_value",-130.363011192167
"53","319","Lake TN","new_value",-0.000421039360308204
"54","criteria","Lake TN","new_value",5.8938360580197
"55","tmdl","Lake TN","new_value",-41.4139514067175
"56","319","Lake TN","new_value",0.00115257010033419
"57","criteria","Lake TN","new_value",11.2172957650884
"58","tmdl","Lake TN","new_value",-51.8589528688775
"59","319","Lake TN","new_value",-0.00753662223228414
"60","criteria","Lake TN","new_value",-5.07308556750249
"61","tmdl","Lake TN","new_value",186.045276451192
"62","319","Lake TN","new_value",0.00745862800710087
"63","criteria","Lake TN","new_value",5.2274124572408
"64","tmdl","Lake TN","new_value",-22.6535280057424
"65","319","Lake TN","new_value",-0.00259068419395764
"66","criteria","Lake TN","new_value",8.36420984372529
"67","tmdl","Lake TN","new_value",-3.40728630825895
"68","319","Lake TN","new_value",-0.00675669981317876
"69","criteria","Lake TN","new_value",1.38125024266184
"70","tmdl","Lake TN","new_value",-23.8102511616188
"71","319","Lake TN","new_value",-0.0148640953037447
"72","criteria","Lake TN","new_value",2.67010342638344
"73","tmdl","Lake TN","new_value",-12.4765498523514
"74","319","Lake TN","new_value",-0.00305617343111495
"75","criteria","Lake TN","new_value",0.552574185110185
"76","tmdl","Lake TN","new_value",158.51502133675
"77","319","Lake TN","new_value",-0.0190364372305991
"78","criteria","Lake TN","new_value",3.45642813466447
"79","tmdl","Lake TN","new_value",-30.0500796072213
"80","319","Lake TN","new_value",-0.00323656143229842
"81","criteria","Lake TN","new_value",2.76838869250822
"82","tmdl","Lake TN","new_value",-26.8525617566734
"83","319","Lake TN","new_value",-0.00619546334338239
"84","criteria","Lake TN","new_value",-2.2341194283031
"85","tmdl","Lake TN","new_value",66.3083842526068
"86","319","Lake TN","new_value",-0.00243660705430483
"87","criteria","Lake TN","new_value",4.66613914287508
"88","tmdl","Lake TN","new_value",105.450080547311
"89","319","Lake TN","new_value",0.0144195432415148
"90","criteria","Lake TN","new_value",-3.21221369401997
"91","tmdl","Lake TN","new_value",-15.2529979623274
"92","319","Lake TN","new_value",-0.00747388439782176
"93","criteria","Lake TN","new_value",2.17475407934755
"94","tmdl","Lake TN","new_value",55.3382245430068
"95","319","Lake TN","new_value",0.000168875070820618
"96","criteria","Lake TN","new_value",0.131351591475301
"97","tmdl","Lake TN","new_value",-84.5427142651652
"98","319","Lake TN","new_value",-5.20062905143281e-06
"99","criteria","Lake TN","new_value",-1.64643005719609
"100","tmdl","Lake TN","new_value",24.5756004439585
"101","319","Lake TN","new_value",-0.00877489882710925
"102","criteria","Lake TN","new_value",6.03061242046152
"103","tmdl","Lake TN","new_value",31.1887178670843
"104","319","Lake TN","new_value",-0.0321786396869198
"105","criteria","Lake TN","new_value",-6.07611400881545
"106","tmdl","Lake TN","new_value",-168.621454669558
"107","319","Lake TN","new_value",-0.0110623447732373
"108","criteria","Lake TN","new_value",12.4002740301392
"109","tmdl","Lake TN","new_value",-172.571068941314
"110","319","Lake TN","new_value",-0.00287413892880396
"111","criteria","Lake TN","new_value",6.04741583499243
"112","tmdl","Lake TN","new_value",-21.6923619155795
"113","319","Lake TN","new_value",-0.00614712588883546
"114","criteria","Lake TN","new_value",9.87016056482056
"115","tmdl","Lake TN","new_value",-40.1820044696187
"116","319","Lake TN","new_value",0.0044410951551949
"117","criteria","Lake TN","new_value",1.37313470629924
"118","tmdl","Lake TN","new_value",-32.2136650206777
"119","319","Lake TN","new_value",0.00205153597939177
"120","criteria","Lake TN","new_value",8.64956787819767
"121","tmdl","Lake TN","new_value",6.71688283605498
"122","319","Lake TN","new_value",-0.0018409667635334
"123","criteria","Lake TN","new_value",-10.9824880462119
"124","tmdl","Lake TN","new_value",-2.59665737701663
"125","319","Lake TN","new_value",-0.00216863473362255
"126","criteria","Lake TN","new_value",-0.134018828475164
"127","tmdl","Lake TN","new_value",-61.3134663882966
"128","319","Lake TN","new_value",0.00565326779932491
"129","criteria","Lake TN","new_value",11.6528899652451
"130","tmdl","Lake TN","new_value",79.1639611209342
"131","319","Lake TN","new_value",-0.000965355137991856
"132","criteria","Lake TN","new_value",2.25592922587762
"133","tmdl","Lake TN","new_value",-90.4910028270881
