"","policy","nutreint_type","value.2.5%","value.50%","value.97.5%"
"1","319","Lake TN",-1.759058e-02,-1.183795e-03, 1.430429e-02
"2","criteria","Lake TN",-9.510144e+00, 1.992590e+00, 1.409458e+01
"3","tmdl","Lake TN",-1.306542e+02,-2.695678e+00, 1.197987e+02
"4","319","Lake TP",-3.931088e-03,-6.883606e-04, 1.901478e-03
"5","criteria","Lake TP",-1.759039e+00, 1.046549e+00, 4.849999e+00
"6","tmdl","Lake TP",-3.499151e+01,-3.656212e+00, 2.178593e+01
"7","319","Stream Ammonium",-4.334962e-03,-2.986703e-04, 3.193355e-03
"8","criteria","Stream Ammonium",-2.567115e+00, 7.921303e-02, 2.537599e+00
"9","tmdl","Stream Ammonium",-2.816375e+01,-3.788216e-01, 2.585213e+01
"10","319","Stream TN",-1.481769e-02, 2.814677e-03, 2.372770e-02
"11","criteria","Stream TN",-1.444157e+01,-2.219665e+00, 9.487403e+00
"12","tmdl","Stream TN",-1.652213e+02,-5.432013e+00, 1.658416e+02
"13","319","Stream TP",-1.696570e-03,-3.346925e-04, 9.622133e-04
"14","criteria","Stream TP",-1.367550e+00,-3.655510e-01, 6.537643e-01
"15","tmdl","Stream TP",-1.665233e+01,-4.099131e+00, 7.928469e+00
