"State","Award.Fiscal.Year","Total.Money.Spent"
"AK",2007,2049544
"AK",2008,2234414
"AK",2009,1596592
"AK",2010,809964
"AK",2011,2429210
"AK",2012,0
"AK",2013,0
"AK",2014,356859
"AK",2015,877472
"AK",2016,2421496
"AK",2017,0
"AK",2018,7930070
"AK",2019,0
"AL",2007,7660864
"AL",2008,7808645
"AL",2009,15373691
"AL",2010,6580000
"AL",2011,6148000
"AL",2012,5828000
"AL",2013,3838563
"AL",2014,3426033
"AL",2015,3933500
"AL",2016,3942203
"AL",2017,0
"AL",2018,4016593
"AL",2019,4006524
"AR",2007,12533704
"AR",2008,13883279
"AR",2009,12629682
"AR",2010,7426198
"AR",2011,10847313
"AR",2012,6797041
"AR",2013,7993376
"AR",2014,5435358
"AR",2015,5538488
"AR",2016,3858747
"AR",2017,6154816
"AR",2018,0
"AR",2019,5705469
"AZ",2007,1251334
"AZ",2008,1187500
"AZ",2009,1363140
"AZ",2010,1783244
"AZ",2011,2867944
"AZ",2012,1021032
"AZ",2013,2481103
"AZ",2014,2535404
"AZ",2015,1731950
"AZ",2016,1981936
"AZ",2017,1912630
"AZ",2018,951979
"AZ",2019,1820037
"CA",2007,6173315
"CA",2008,21397039
"CA",2009,18680854
"CA",2010,10359908
"CA",2011,17071753
"CA",2012,12322267
"CA",2013,16741558
"CA",2014,4134142
"CA",2015,12896992
"CA",2016,13926805
"CA",2017,15430844
"CA",2018,10699892
"CA",2019,8568663
"CO",2007,0
"CO",2008,11870558
"CO",2009,5154699
"CO",2010,4475544
"CO",2011,1794589
"CO",2012,3600916
"CO",2013,2293676
"CO",2014,3035109
"CO",2015,3196817
"CO",2016,2238216
"CO",2017,2417450
"CO",2018,2032132
"CO",2019,1479239
"CT",2007,3743164
"CT",2008,2788723
"CT",2009,3095022
"CT",2010,1932682
"CT",2011,2192378
"CT",2012,2221716
"CT",2013,2094263
"CT",2014,1073293
"CT",2015,1159696
"CT",2016,994471
"CT",2017,1004689
"CT",2018,981952
"CT",2019,871266
"DE",2007,3502740
"DE",2008,3988086
"DE",2009,3351049
"DE",2010,0
"DE",2011,5479006
"DE",2012,2994726
"DE",2013,2893333
"DE",2014,1924346
"DE",2015,3842698
"DE",2016,0
"DE",2017,2109233
"DE",2018,1957727
"DE",2019,3981899
"FL",2007,29093584
"FL",2008,23179811
"FL",2009,21603242
"FL",2010,19983514
"FL",2011,15794293
"FL",2012,14950985
"FL",2013,18051623
"FL",2014,0
"FL",2015,22620041
"FL",2016,11243311
"FL",2017,12825015
"FL",2018,10431824
"FL",2019,11915894
"GA",2007,12154686
"GA",2008,12322130
"GA",2009,12910246
"GA",2010,15207137
"GA",2011,10973434
"GA",2012,8711635
"GA",2013,11838593
"GA",2014,5035513
"GA",2015,4522080
"GA",2016,5275103
"GA",2017,4651445
"GA",2018,3978301
"GA",2019,4146055
"HI",2007,0
"HI",2008,3279644
"HI",2009,3407230
"HI",2010,2778130
"HI",2011,180258
"HI",2012,1445518
"HI",2013,2279518
"HI",2014,1801653
"HI",2015,880686
"HI",2016,112500
"HI",2017,892069
"HI",2018,446377
"HI",2019,267700
"IA",2007,11672699
"IA",2008,11456096
"IA",2009,10359097
"IA",2010,13015214
"IA",2011,8645762
"IA",2012,10323180
"IA",2013,13671353
"IA",2014,7155662
"IA",2015,9223514
"IA",2016,7356142
"IA",2017,5932130
"IA",2018,7618901
"IA",2019,10650227
"ID",2007,5316838
"ID",2008,3402814
"ID",2009,4622022
"ID",2010,5037550
"ID",2011,3856876
"ID",2012,3731679
"ID",2013,3275510
"ID",2014,1598836
"ID",2015,1498509
"ID",2016,1275753
"ID",2017,1563279
"ID",2018,1905688
"ID",2019,2243839
"IL",2007,21628182
"IL",2008,21944370
"IL",2009,20244145
"IL",2010,19696162
"IL",2011,20892116
"IL",2012,21259112
"IL",2013,25513284
"IL",2014,17917098
"IL",2015,10566204
"IL",2016,11024600
"IL",2017,12373006
"IL",2018,10855545
"IL",2019,11193311
"IN",2007,14000320
"IN",2008,12007499
"IN",2009,11973521
"IN",2010,12683251
"IN",2011,13025684
"IN",2012,10347897
"IN",2013,9132307
"IN",2014,4950578
"IN",2015,5984032
"IN",2016,5609582
"IN",2017,5594510
"IN",2018,4814976
"IN",2019,4225031
"KS",2007,25131681
"KS",2008,9741186
"KS",2009,11051059
"KS",2010,12172879
"KS",2011,11420344
"KS",2012,9422755
"KS",2013,10533974
"KS",2014,5678419
"KS",2015,5696808
"KS",2016,12865438
"KS",2017,0
"KS",2018,0
"KS",2019,8886696
"KY",2007,8790534
"KY",2008,7226979
"KY",2009,6694533
"KY",2010,8641470
"KY",2011,5742000
"KY",2012,14121747
"KY",2013,4246211
"KY",2014,4220529
"KY",2015,3715143
"KY",2016,4191673
"KY",2017,0
"KY",2018,4307791
"KY",2019,3804317
"LA",2007,0
"LA",2008,26804662
"LA",2009,6031998
"LA",2010,6496000
"LA",2011,21065151
"LA",2012,10121998
"LA",2013,10597333
"LA",2014,6225585
"LA",2015,3812538
"LA",2016,3151668
"LA",2017,3260000
"LA",2018,3205833
"LA",2019,3189167
"MA",2007,11412388
"MA",2008,5595281
"MA",2009,0
"MA",2010,16122437
"MA",2011,0
"MA",2012,0
"MA",2013,12079910
