"","policy","nutrient_type","variable","value"
"1","tmdl","Lake TN","new_coef",1.62818878430209
"2","319","Lake TN","new_coef",-2.95219284534886
"3","criteria","Lake TN","new_coef",5.86931474747177
"4","tmdl","Lake TN","new_coef",-8.28455536198831
"5","319","Lake TN","new_coef",-0.656280964373809
"6","criteria","Lake TN","new_coef",9.08075474167636
"7","tmdl","Lake TN","new_coef",0.189505391218941
"8","319","Lake TN","new_coef",-0.318646377069109
"9","criteria","Lake TN","new_coef",-4.90075370767969
"10","tmdl","Lake TN","new_coef",-7.30295185789963
"11","319","Lake TN","new_coef",-3.55547023319166
"12","criteria","Lake TN","new_coef",9.62499998341811
"13","tmdl","Lake TN","new_coef",-2.49133172702435
"14","319","Lake TN","new_coef",2.39536962463183
"15","criteria","Lake TN","new_coef",2.56472208895522
"16","tmdl","Lake TN","new_coef",-3.75759828487156
"17","319","Lake TN","new_coef",-4.19321607284277
"18","criteria","Lake TN","new_coef",7.92378216256753
"19","tmdl","Lake TN","new_coef",-1.12408399546556
"20","319","Lake TN","new_coef",-1.94544232046812
"21","criteria","Lake TN","new_coef",3.99424400518316
"22","tmdl","Lake TN","new_coef",-0.224912425693166
"23","319","Lake TN","new_coef",-2.75362223191149
"24","criteria","Lake TN","new_coef",-2.80947895648405
"25","tmdl","Lake TN","new_coef",-3.2977950777723
"26","319","Lake TN","new_coef",-0.218910013185508
"27","criteria","Lake TN","new_coef",0.400958920690074
"28","tmdl","Lake TN","new_coef",8.46126416159912
"29","319","Lake TN","new_coef",-3.86355874607332
"30","criteria","Lake TN","new_coef",3.63153951809326
"31","tmdl","Lake TN","new_coef",4.55745182364523
"32","319","Lake TN","new_coef",-1.83102423066429
"33","criteria","Lake TN","new_coef",11.7699742071562
"34","tmdl","Lake TN","new_coef",-8.2824127391607
"35","319","Lake TN","new_coef",-1.99496836769858
"36","criteria","Lake TN","new_coef",4.86495416806733
"37","tmdl","Lake TN","new_coef",-3.80303161917887
"38","319","Lake TN","new_coef",-12.3798974014988
"39","criteria","Lake TN","new_coef",11.3196265185772
"40","tmdl","Lake TN","new_coef",1.173305185958
"41","319","Lake TN","new_coef",-1.00809908952758
"42","criteria","Lake TN","new_coef",-2.50466964855376
"43","tmdl","Lake TN","new_coef",2.19674939673165
"44","319","Lake TN","new_coef",-12.950067388463
"45","criteria","Lake TN","new_coef",5.48169188896391
"46","tmdl","Lake TN","new_coef",-5.82121517283323
"47","319","Lake TN","new_coef",-4.26611350517241
"48","criteria","Lake TN","new_coef",8.41931935777668
"49","tmdl","Lake TN","new_coef",-4.63130862416308
"50","319","Lake TN","new_coef",-4.93363006806222
"51","criteria","Lake TN","new_coef",2.87384584864244
"52","tmdl","Lake TN","new_coef",0.334055032254678
"53","319","Lake TN","new_coef",1.55020266522742
"54","criteria","Lake TN","new_coef",-1.00967778731396
"55","tmdl","Lake TN","new_coef",2.81148232862709
"56","319","Lake TN","new_coef",1.09655963000951
"57","criteria","Lake TN","new_coef",2.18828824325518
"58","tmdl","Lake TN","new_coef",-1.40941602372734
"59","319","Lake TN","new_coef",-2.56383490243954
"60","criteria","Lake TN","new_coef",1.19715509982733
"61","tmdl","Lake TN","new_coef",5.77505232389912
"62","319","Lake TN","new_coef",-1.918725106646
"63","criteria","Lake TN","new_coef",0.453869668946959
"64","tmdl","Lake TN","new_coef",6.3706710947749
"65","319","Lake TN","new_coef",-0.375031931036865
"66","criteria","Lake TN","new_coef",-6.48591957392156
"67","tmdl","Lake TN","new_coef",2.19468004659513
"68","319","Lake TN","new_coef",-3.58401337250101
"69","criteria","Lake TN","new_coef",-1.73397210416241
"70","tmdl","Lake TN","new_coef",-3.156618609755
"71","319","Lake TN","new_coef",2.48368072977567
"72","criteria","Lake TN","new_coef",6.54665285578855
"73","tmdl","Lake TN","new_coef",-4.16466968468608
"74","319","Lake TN","new_coef",-4.18249084681401
"75","criteria","Lake TN","new_coef",9.64730100575002
"76","tmdl","Lake TN","new_coef",-4.22268285553902
"77","319","Lake TN","new_coef",0.306377750092094
"78","criteria","Lake TN","new_coef",-2.0941190960854
"79","tmdl","Lake TN","new_coef",-2.74550045182908
"80","319","Lake TN","new_coef",-2.46606629265506
"81","criteria","Lake TN","new_coef",9.8061446941363
"82","tmdl","Lake TN","new_coef",1.24196724778752
"83","319","Lake TN","new_coef",-1.57431109889186
"84","criteria","Lake TN","new_coef",-0.225666531081488
"85","tmdl","Lake TN","new_coef",-2.7022878458202
"86","319","Lake TN","new_coef",0.28637101246579
"87","criteria","Lake TN","new_coef",-3.07616302677813
"88","tmdl","Lake TN","new_coef",-0.793119935413023
"89","319","Lake TN","new_coef",-2.39056380794014
"90","criteria","Lake TN","new_coef",3.55147439995851
"91","tmdl","Lake TN","new_coef",-3.45912162629413
"92","319","Lake TN","new_coef",-5.18323080980675
"93","criteria","Lake TN","new_coef",5.66501048118626
"94","tmdl","Lake TN","new_coef",-1.60016907654501
"95","319","Lake TN","new_coef",1.54848529383694
