State,Award Fiscal Year,Grant No,Grantee,319 Obligation Amount,Project Number,Title,319h Base Funds,319h Incremental Funds,Total 319h Funds,Epa Other,Epa Budget,Other Federal,State Funds,State In-Kind,Local Funds,Other Funds,Total Budget,Local In-Kind
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,3,YRC  Peninsula Restoration Project,"$35,500 ",$0 ,"$35,500 ",$0 ,"$71,000 ",$0 ,$0 ,"$23,100 ",$0 ,$0 ,"$94,100 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,4,Cook Inlet Watershed Health Monitoring,"$120,000 ",$0 ,"$120,000 ",$0 ,"$240,000 ","$24,000 ",$0 ,$0 ,"$148,700 ",$0 ,"$412,700 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,5,Fish Habitat Restoration Copper Basin,"$15,074 ",$0 ,"$15,074 ",$0 ,"$30,148 ",$0 ,$0 ,"$11,800 ",$0 ,$0 ,"$41,948 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,6,Mat-Su Borough Water Quality Monitoring Program,"$31,855 ",$0 ,"$31,855 ",$0 ,"$63,710 ",$0 ,$0 ,"$22,853 ",$0 ,$0 ,"$86,563 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,7,Fairbanks Stormwater Management Development,"$165,000 ",$0 ,"$165,000 ",$0 ,"$330,000 ",$0 ,$0 ,"$94,166 ",$0 ,$0 ,"$424,166 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,8,Anchorage Watershed Outreach,"$65,100 ",$0 ,"$65,100 ",$0 ,"$130,200 ",$0 ,$0 ,"$75,506 ",$0 ,$0 ,"$205,706 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,9,Kodiak Urban Lakes Water Quality Assessment,"$29,700 ",$0 ,"$29,700 ",$0 ,"$59,400 ",$0 ,$0 ,"$21,600 ",$0 ,$0 ,"$81,000 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,10,Yukon River Watershed Environmental Education,"$45,000 ",$0 ,"$45,000 ",$0 ,"$90,000 ",$0 ,$0 ,"$30,702 ",$0 ,$0 ,"$120,702 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,11,Swan Lake Watershed Restoration,"$43,500 ",$0 ,"$43,500 ",$0 ,"$87,000 ",$0 ,$0 ,"$45,338 ",$0 ,$0 ,"$132,338 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,12,Mendenhall Watershed Partnership,"$75,600 ",$0 ,"$75,600 ",$0 ,"$151,200 ",$0 ,$0 ,"$72,772 ",$0 ,$0 ,"$223,972 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,13,Noyes Slough Restoration Project,"$20,000 ",$0 ,"$20,000 ",$0 ,"$40,000 ",$0 ,$0 ,"$13,600 ",$0 ,$0 ,"$53,600 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,14,Riparian Buffer Zone Monitoring Phase II,"$40,000 ",$0 ,"$40,000 ",$0 ,"$80,000 ",$0 ,$0 ,"$23,230 ",$0 ,$0 ,"$103,230 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,15,Little Susitna and Cottonwood Creek Project,"$78,991 ",$0 ,"$78,991 ",$0 ,"$157,982 ",$0 ,$0 ,"$64,037 ",$0 ,$0 ,"$222,019 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,16,Juneau Stormwater Management Development,"$88,500 ",$0 ,"$88,500 ",$0 ,"$177,000 ",$0 ,$0 ,"$25,893 ",$0 ,$0 ,"$202,893 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,17,Kenai River Watershed,"$56,600 ",$0 ,"$56,600 ",$0 ,"$113,200 ",$0 ,$0 ,"$40,239 ",$0 ,$0 ,"$153,439 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,18,Mapping and Measurement of Upwelling,"$70,000 ",$0 ,"$70,000 ",$0 ,"$140,000 ",$0 ,$0 ,"$61,781 ",$0 ,$0 ,"$201,781 ",$0 
AK,2001,99098701,ADEC - AK DEPT OF ENVIRON CONSERV,$0 ,19,Identifying Priority Wetlands on the Lower Kenai River,"$35,000 ",$0 ,"$35,000 ",$0 ,"$70,000 ",$0 ,$0 ,"$60,340 ",$0 ,$0 ,"$130,340 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,1,Administration and Management,"$808,131 ",$0 ,"$808,131 ",$0 ,"$1,616,262 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$1,616,262 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,2,"River Basin Assessment: Mobile, Escatawpa, Tombigbee","$135,000 ",$0 ,"$135,000 ",$0 ,"$270,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$270,000 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,3,Embayment/Mainstem Reservoir Assessment of the Tombigbee and Escatawpa River Basins,"$87,000 ",$0 ,"$87,000 ",$0 ,"$174,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$174,000 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,4,Alabama Water Watch: A Citizen Volunteer Monitoring Program,"$200,859 ",$0 ,"$200,859 ",$0 ,"$401,718 ",$0 ,$0 ,$0 ,$0 ,"$136,906 ","$538,624 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,5,Alabama Polluted Runoff Prevention and Control Education Coordinator,"$68,500 ",$0 ,"$68,500 ",$0 ,"$137,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$137,000 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,6,Water Quality Coordinator for the Alabama Soil and Water Conservation Committee,"$30,510 ",$0 ,"$30,510 ",$0 ,"$61,020 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$61,020 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,7,Wiregrass Clean Sweep Pesticide Collection,"$74,750 ",$0 ,"$74,750 ",$0 ,"$149,500 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$149,500 ",$0 
AL,2001,99469901,AL DEPT OF ENVIRONMENTAL MANAGEMENT,$0 ,8,Groundwater Festivals for North Alabama,"$17,000 ",$0 ,"$17,000 ",$0 ,"$34,000 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$34,000 ",$0 
