State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,1,Hydrologic Assessments of Shaw Creek and Providence Creek,No,"Other Water Quality Assessment /Monitoring
",Other NPS Pollution; Resource Extraction; Silviculture,NOT APPLICABLE (NA),"$85,000 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,2,Protection and Restoration of Our Urban Waterways,No,"Corrective Action (other than BMP implementation)
319(h) National Monitoring Project
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$80,000 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,3,City and Borough of Juneau Storm Water Management Development,No,"Stormwater Discharge Design/ Control
",Construction; Hydromodification; Silviculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$72,000 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,4,Granite Creek Watershed Restoration Strategy,No,"TMDL Assessments
",Resource Extraction,Implementing a TMDL,"$30,257 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,5,Swan Lake Recovery of Strategy Implementation,No,"Stream Bank Stabilization
Grade Stabilization
Sediment Control
Stormwater Discharge Design/ Control
Erosion Control Projects
TMDLs
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$39,149 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,6,Fairbanks Storm Water Management Development,No,"Stormwater Discharge Design/ Control
",Construction; Hydromodification; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$125,000 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,7,Copper River Watershed FishWatch,No,"Fisheries Projects
Local (Specific Target) Education/Information Programs
Other Water Quality Assessment /Monitoring
",Other NPS Pollution,NOT APPLICABLE (NA),"$11,200 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,8,Vanderbilt Creek Stewards Project,No,"Local (Specific Target) Education/Information Programs
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$4,275 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,9,Cook Inlet Watershed Health Monitoring,No,"Other Restoration/Protection/Prevention
",Construction; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$129,999 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,10,Implementing Kenai River Water Quality Monitoring,No,"Water Quality Trend Assessment
Other Water Quality Assessment /Monitoring
",Construction; Land Disposal/Storage/Treatment; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$45,000 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,11,MSB Water Quality Monitoring Program,No,"Other Water Quality Assessment /Monitoring
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$13,408 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,12,Mendenhall Watershed Partnership,No,"Erosion Control Projects
Other Restoration/Protection/Prevention
Local (Specific Target) Education/Information Programs
Stormwater Management Planning
",Construction; Hydromodification; Silviculture; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$69,416 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,13,Anchorage Storm Water Utility Study,No,"Stormwater Discharge Design/ Control
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,Implementing a TMDL,"$70,000 ",No,Completed,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,14,Noyes Slough Action Committee,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,Implementing a TMDL,"$25,000 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,15,Organized Village of Kake,No,"Other Restoration/Protection/Prevention
",Historical Pollutants; Silviculture,NOT APPLICABLE (NA),"$17,876 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,16,Wasilla Soil and Water Conservation,No,"Other Restoration/Protection/Prevention
",Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$64,731 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,17,Youth Restoration Corp,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution,NOT APPLICABLE (NA),"$40,000 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,18,Yukon River Unified W/S Assessment,No,"Other Water Quality Assessment /Monitoring
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$56,150 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,36,Silver Bay TMDL,No,"TMDLs
",Silviculture,NOT APPLICABLE (NA),"$59,774 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098702,ADEC - AK DEPT OF ENVIRON CONSERV,37,Peterson Creek Monitoring and Assessment,No,"Other Water Quality Assessment /Monitoring
",Construction; Turf Management; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$60,554 ",No,,Did start on 07/01/2001,Completed on 06/30/2002
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,1,Hydrologic Assessment of Shaw Creek Watershed ,No,"Water Quality Trend Assessment
",Construction; Other NPS Pollution; Resource Extraction; Silviculture,NOT APPLICABLE (NA),"$111,200 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,2,Kobuk Watershed Stewardship Project,No,"Statewide Education/Information Programs
",All Sources,NOT APPLICABLE (NA),"$15,386 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,3,AWC Citizens Environmental Monitoring Program,No,"Other Water Quality Assessment /Monitoring
",Hydromodification; Turf Management; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$60,000 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,4,Chena Noyes Contaminant-Sediment Sources,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$60,414 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,5,Granite Creek Recovery Strategy (TMDL) Implementation,No,"TMDLs
",Land Disposal/Storage/Treatment; Turf Management,NOT APPLICABLE (NA),"$22,770 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,6,Fairbanks Storm Water Management and Development,No,"Other Restoration/Protection/Prevention
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$120,000 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
AK,2002,99098703,ADEC - AK DEPT OF ENVIRON CONSERV,7,Copper River Monitoring for Protection and Restoration,No,"Other Restoration/Protection/Prevention
",Other NPS Pollution,NOT APPLICABLE (NA),"$33,000 ",No,,Did start on 07/01/2002,Completed on 06/30/2003
