State,Award Fiscal Year,Grant No,Grantee,Project Number,Title,State Wide Project,Primary Functional Category,Category Of Pollution,TMDL,Total 319h Funds,Has Pollutant Data,Current Status,Project Start,Project End
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,1,Reduce Bacteria Pollution - Anchorage Bowl,No,"BMP Effectiveness Monitoring
Education/Information
GIS/Modeling
",Urban Runoff/Stormwater,Implementing a TMDL,"$37,554 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,2,Kenai River Water Quality Monitoring and Assessment,No,"Education/Information
GIS/Modeling
Monitoring Design
",Marinas and Recreational Boating; Other NPS Pollution; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$101,491 ",No,Completed,Will start on 03/01/2019,Will be Completed On 04/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,3,Little Susitna River Total Aromatic Hydrocarbon (TAH) Monitoring,No,"BMP Effectiveness Monitoring
Monitoring Design
",Marinas and Recreational Boating,NOT APPLICABLE (NA),"$63,627 ",No,Completed,Will start on 03/04/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,13,Ketchikan Beaches and Watersheds Management,No,"BMP Design
Education/Information
",Land Disposal/Storage/Treatment; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$37,202 ",No,Completed,Will start on 04/03/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,14,Water Chemistry Evaluation for Bristol Bay,No,"Education/Information
Monitoring Design
",Other NPS Pollution; Resource Extraction,NOT APPLICABLE (NA),"$29,886 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,15,Low-Impact Development Planning for the City of Homer,No,"BMP Design
BMP Implementation
Education/Information
GIS/Modeling
",Construction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$59,785 ",No,Completed,Will start on 03/13/2019,Will be Completed On 06/30/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,16,Scaling Green Infrastructure in Fairbanks,No,"BMP Implementation
",Marinas and Recreational Boating; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$88,500 ",No,Completed,Will start on 03/01/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,17,"Controlling Urban Runoff to Cottonwood Creek, Phase 2",No,"BMP Design
BMP Implementation
Other Restoration/Protection
",Urban Runoff/Stormwater,Implementing a TMDL,"$58,326 ",No,Completed,Will start on 03/18/2019,Will be Completed On 02/28/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,18,Jordan Creek Watershed (Juneau),No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$91,932 ",No,Completed,Will start on 04/03/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,21,DEC NPS Staff Time: Project Implementation,Yes,"NPS Grants Administration
Technical Assistance/Technology Transfer
NPS Monitoring
Development of WBPs or Acceptable Alternatives
Development of TMDLs
Implementing a Statewide Program (Regulatory or Non-Regulatory)
Watershed Protection and Restoration Implementation
Other Restoration/Protection
",Construction; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$1,574,261 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,22,DEC NPS STaff Time: Program Work,Yes,"Other Planning
",Construction; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$3,350,844 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,23,Lake Lucille Lake Management Plan,No,"BMP Design
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$30,000 ",No,Completed,Will start on 07/01/2019,Will be Completed On 06/30/2020
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,25,Anchorage Streams Pathogens Monitoring ,No,"BMP Effectiveness Monitoring
",Urban Runoff/Stormwater,Implementing a TMDL,"$16,884 ",No,Completed,Will start on 04/01/2020,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,26,ACWA Prioritization Model Development,Yes,"GIS/Modeling
Watershed Planning
",Construction; Marinas and Recreational Boating; Other NPS Pollution; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$49,981 ",No,,Will start on 07/01/2019,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,28,"Gold Systems Contract - AWQMS License, Maintenance and Support",Yes,"Water Quality Assessment/Monitoring
",Construction; Historical Pollutants; Hydromodification; Marinas and Recreational Boating; Resource Extraction; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$30,279 ",No,,Will start on 07/01/2018,Will be Completed On 06/30/2021
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,29,Salcha River Water Quality Monitoring,No,"Education/Information
Monitoring Design
",Marinas and Recreational Boating; Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$6,536 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,30,Lake Lucile Bioretention Installation at Burchell HS & Watershed Health Outreach,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$13,410 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,31,Jordan Creek Restoration & Implementation of Best Mgmt Practices,No,"BMP Design
BMP Implementation
Education/Information
",Urban Runoff/Stormwater,Implementing a TMDL,"$19,415 ",No,,Will start on 03/01/2021,Will be Completed On 02/28/2023
AK,2018,00J84604,AK DEPT OF ENVIRON CONSERV,32,Chena River Water Quality Monitoring,No,"Education/Information
Monitoring Design
",Urban Runoff/Stormwater,NOT APPLICABLE (NA),"$4,601 ",No,On Schedule,Will start on 03/01/2021,Will be Completed On 02/28/2023
