STATE_NAME,Unclassified,Open_Water,Perennial_Snow_Ice,Developed__Open_Space,Developed__Low_Intensity,Developed__Medium_Intensity,Developed__High_Intensity,Barren_Land,Deciduous_Forest,Evergreen_Forest,Mixed_Forest,Shrub_Scrub,Herbaceous,Hay_Pasture,Cultivated_Crops,Woody_Wetlands,Emergent_Herbaceous_Wetlands
Alabama,0,3181979,0,6641938,3218874,1210687,405254,287975,25803276,31612558,16644517,9506101,6456093,20046642,6297673,16349756,1164549
Arizona,76548,621549,2,3261751,2134078,1868747,555582,8794089,101189,45221462,135141,228032814,29210503,148284,5537192,1167602,375013
Arkansas,0,3595019,0,4962641,2899949,980451,324551,312149,29677040,24080229,10482671,4118774,3277243,20429556,31025841,15559835,547053
California,0,6065775,85282,11843056,6975438,8600083,2771389,21880217,1657234,91396130,9489518,177824437,65054707,3059155,42345796,1456780,3539222
Colorado,0,1107883,260249,4299696,2225598,1361077,428786,2249038,19785898,61572591,2367016,71439417,88070237,3509438,34982067,2651232,3268041
Connecticut,0,542089,0,1421357,1124934,817957,258767,41033,6096260,226399,1603353,39101,96083,554824,217708,1188127,93317
Delaware,0,311728,0,497007,368519,203127,82081,15220,287504,138253,230168,62214,21573,68128,2233471,1037703,355919
District of Columbia,0,17263,0,25311,40916,57828,29737,392,14471,37,1557,140,242,226,199,1399,395
Florida,0,8002650,0,10508718,7564029,4061490,1281761,578716,515420,28171704,1183828,7683524,4566961,18830864,10214263,40626486,16834768
Georgia,0,3049885,0,9288318,5434594,2015489,876516,334275,21706107,40446982,11057170,6318201,6670063,11818408,20005732,27250532,2451204
Idaho,4627,2269968,71025,2155858,1173204,517451,109259,871254,1234538,71645541,142540,88210770,42752530,2126847,23250806,1488376,1814957
Illinois,0,3033321,0,5462879,7533043,3598734,1335900,170762,20615783,202200,2432189,93922,611528,11725619,101055251,3535265,609102
Indiana,0,1414671,0,5390872,3759967,1885842,731174,158648,21299702,278625,1855056,142241,738988,7807464,56451942,2482553,353357
Iowa,0,1656331,0,4537875,3907795,1400948,357434,121884,10696559,154101,1309939,92663,3126399,20767777,110404376,2094606,1266781
Kansas,0,2005719,0,6847799,3244118,1065269,330819,153962,10059875,61866,554165,2277348,82891498,20485994,104976963,1049423,538448
Kentucky,0,1935646,0,5482846,2299508,1101298,431628,426029,50014562,1123871,9228547,823076,1756692,26587561,13199309,1402423,218085
Louisiana,0,11211138,0,3734653,3963727,1408047,525043,210274,1601947,24530040,2761523,6327369,3348600,9020798,20998143,28539159,13726692
Maine,165208,5227481,0,2135740,1199918,521701,152214,222742,14387383,19113011,28140026,3802680,1905953,2332251,1017919,11190554,1037954
Maryland,0,1344470,0,2530922,1614424,809617,315208,85683,6619927,586170,2150960,194114,142244,2866310,5373611,2756004,639414
Massachusetts,0,1346943,0,1592518,1834389,1781836,709093,140053,4855447,2068605,4854596,106265,258689,832457,262984,2527189,347453
Michigan,7359,5529873,0,7857367,5930438,3051006,1179750,553209,34950739,8255211,12284527,2062500,4320439,5035742,37513390,36064963,2021728
