"","states","CYCLE_YEAR","tally"
"1","FL",2002,13
"2","HI",2002,2429
"3","MD",2002,615
"4","DE",2004,1041
"5","WA",2004,5841
"6","WI",2004,20316
"7","OR",2006,5849
"8","AK",2008,861
"9","AR",2008,4467
"10","NH",2008,31734
"11","AZ",2010,1119
"12","CA",2010,2889
"13","CO",2010,2897
"14","IL",2010,8830
"15","IN",2010,11601
"16","MA",2010,7693
"17","ME",2010,1540
"18","MI",2010,60709
"19","MN",2010,8296
"20","NJ",2010,5283
"21","OH",2010,5531
"22","TX",2010,7864
"23","UT",2010,1838
"24","VA",2010,22646
"25","WV",2010,21198
"26","AL",2012,4519
"27","CT",2012,4144
"28","DC",2012,180
"29","GA",2012,2158
"30","IA",2012,3065
"31","ID",2012,25440
"32","KS",2012,4432
"33","KY",2012,10271
"34","LA",2012,1638
"35","MO",2012,2533
"36","MS",2012,666
"37","MT",2012,3922
"38","NC",2012,7325
"39","ND",2012,7351
"40","NE",2012,2776
"41","NM",2012,2991
"42","NV",2012,4212
"43","NY",2012,14101
"44","OK",2012,5841
"45","PR",2012,1017
"46","RI",2012,2126
"47","SC",2012,3934
"48","SD",2012,1382
"49","TN",2012,12154
"50","VI",2012,216
"51","VT",2012,5196
"52","WY",2012,2201
