Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2007,YEAR,,COUNTY,VIRGINIA,51,NORTHERN,20,ARLINGTON,13,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,1000,
CENSUS,2017,YEAR,,COUNTY,NEW YORK,36,LONG ISLAND,91,KINGS,47,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2000,7.3
CENSUS,2017,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),2000,69.1
CENSUS,2007,YEAR,,COUNTY,LOUISIANA,22,SOUTHEAST,90,SAINT BERNARD,87,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2000,
CENSUS,2002,YEAR,,COUNTY,NEW JERSEY,34,NORTH,20,ESSEX,13,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,"AMERICAN SAMOA, MANUA & SWAINS ISLAND",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,2114,70.9
CENSUS,2002,YEAR,,COUNTY,CALIFORNIA,6,SIERRA MOUNTAINS,60,ALPINE,3,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,3000,
CENSUS,2002,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,MCDOWELL,47,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,3000,
CENSUS,2017,YEAR,,COUNTY,LOUISIANA,22,SOUTHEAST,90,ST. JOHN THE BAPTIST,95,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,4000,14.6
CENSUS,2017,YEAR,,COUNTY,MASSACHUSETTS,25,ALL COUNTIES,10,NANTUCKET,19,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,4000,44.1
CENSUS,2017,YEAR,,COUNTY,MASSACHUSETTS,25,ALL COUNTIES,10,SUFFOLK,25,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,4000,44.1
CENSUS,2002,YEAR,,COUNTY,NEW JERSEY,34,NORTH,20,UNION,39,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,4000,
CENSUS,1997,YEAR,,COUNTY,NEW YORK,36,NORTHEAST,30,HAMILTON,41,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,4000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,200 TO 2,499 $)",4596,58.5
CENSUS,2007,YEAR,,COUNTY,NEVADA,32,NORTHWEST,10,STOREY,29,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,5000,
CENSUS,2012,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,LOGAN,45,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,6000,7.1
CENSUS,2017,YEAR,,COUNTY,LOUISIANA,22,SOUTHEAST,90,ORLEANS,71,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,7000,14.6
CENSUS,2017,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,LOGAN,45,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,7000,6.9
CENSUS,2012,YEAR,,COUNTY,LOUISIANA,22,SOUTHEAST,90,ORLEANS,71,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,7000,24.5
CENSUS,2012,YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),7000,57.3
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (LESS THAN 1.0 ACRES),7680,49.5
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,AMERICAN SAMOA,60,,,,,,"AMERICAN SAMOA, EASTERN, SAOLE",0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,60.9
CENSUS,2017,YEAR,,COUNTY,MICHIGAN,26,UPPER PENINSULA,10,KEWEENAW,83,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,8.1
CENSUS,2007,YEAR,,COUNTY,MINNESOTA,27,NORTHEAST,30,COOK,31,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,
CENSUS,2002,YEAR,,COUNTY,NEW MEXICO,35,NORTHWEST,10,LOS ALAMOS,28,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,
CENSUS,1997,YEAR,,COUNTY,MINNESOTA,27,EAST CENTRAL,60,RAMSEY,123,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,8000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,NORTHERN MARIANA ISLANDS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (10.0 TO 20.0 ACRES),8475,37.7
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,GUAM,66,,,,,,GUAM,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (3.0 TO 4.0 ACRES),8836,70.6
CENSUS,2017,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,WYOMING,109,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,9000,6.9
CENSUS,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),9000,(L)
CENSUS,2007,YEAR,,COUNTY,MICHIGAN,26,UPPER PENINSULA,10,KEWEENAW,83,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,9000,
CENSUS,2002,YEAR,,COUNTY,WEST VIRGINIA,54,SOUTHWEST,40,BOONE,5,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,9000,
CENSUS,2002,YEAR,,STATE,ALASKA,2,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,
CENSUS,2018,YEAR,,PUERTO RICO & OUTLYING AREAS,NORTHERN MARIANA ISLANDS,69,,,,,,NORTHERN MARIANA ISLANDS,0,,FEED,"FEED - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (20.0 TO 40.0 ACRES),9900,78.5
CENSUS,2017,YEAR,,STATE,MISSOURI,29,,,,,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),10000,0.8
CENSUS,1997,YEAR,,COUNTY,KENTUCKY,21,EASTERN OR MOUNTAIN,60,LESLIE,131,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,10000,
