"","PC1","PC2","State"
"sit1",-0.192309333852466,0.697611468064967,"AL"
"sit2",-0.125877986853138,0.510332880472468,"AR"
"sit3",-0.0721361549925454,-0.164562617566425,"AZ"
"sit4",0.253378819141635,-0.316989940016604,"CA"
"sit5",0.686362260578255,-0.5902524339065,"CO"
"sit6",-0.532619156916686,-0.428419968943909,"CT"
"sit7",-1.975840047592,-1.36306837216683,"DE"
"sit8",-0.949365957596679,-0.751682940887146,"FL"
"sit9",-0.277514123994388,0.138686660237204,"GA"
"sit10",0.61778945564242,0.842163557935556,"IA"
"sit11",0.873093454760195,-0.203479080754082,"ID"
"sit12",0.124727564333654,0.555884116170551,"IL"
"sit13",-0.198740084957887,0.358721157056355,"IN"
"sit14",0.786141352939653,-0.148104518652311,"KS"
"sit15",-0.209761483461412,0.57301416926596,"KY"
"sit16",-0.480771137100375,0.667833052340482,"LA"
"sit17",-0.898704731867016,-0.970688989457139,"MA"
"sit18",-0.486020126354918,-0.139262946129831,"MD"
"sit19",0.0605248361606832,0.49522182867924,"ME"
"sit20",0.167755026129187,0.477682635388794,"MI"
"sit21",0.151878392427519,0.612463456869766,"MN"
"sit22",-0.004381918097085,0.651605627608644,"MO"
"sit23",-0.512299675237133,0.80879606926486,"MS"
"sit24",1.18291218320712,-1.07160224729989,"MT"
"sit25",-0.560378431303906,-0.292435482179642,"NC"
"sit26",1.19767849750519,-1.55969209495973,"ND"
"sit27",1.03405925384878,-0.286991525716964,"NE"
"sit28",-0.178312060737969,0.158589789905446,"NH"
"sit29",-0.80988326258424,-0.609972096733705,"NJ"
"sit30",0.34719743166772,0.243934851735747,"NM"
"sit31",-0.0509289422659248,-0.379307915857725,"NV"
"sit32",-0.265729851673165,0.287069614692411,"NY"
"sit33",-0.148536701216771,0.509427357850939,"OH"
"sit34",0.330129048271831,-0.0920495298736298,"OK"
"sit35",0.212602416019049,0.354536071461041,"OR"
"sit36",-0.12740206683548,0.260111583629757,"PA"
"sit37",-0.449039969315047,-0.555473580967468,"RI"
"sit38",-0.503217113093324,-0.0817370581625692,"SC"
"sit39",1.21583798392287,-0.923411428873392,"SD"
"sit40",0.22535519484108,0.636316840482174,"TN"
"sit41",-0.0859792882491701,-0.321310140004868,"TX"
"sit42",0.0431141666233155,-0.43150020728119,"UT"
"sit43",-0.248422260556083,0.211475243722047,"VA"
"sit44",-0.00270702544618963,0.577755384043912,"VT"
"sit45",0.246227480218123,-0.368234251452117,"WA"
"sit46",0.170478464500698,0.732355223551324,"WI"
"sit47",0.04156382159798,0.461540264365301,"WV"
"sit48",0.378071787814033,0.22710046304872,"WY"
