State,Total.State.Money
NY,441020234
FL,340426015
IL,296235404
TX,252481385
MI,186903412
OH,179562736
NC,179531281
ND,175018285
GA,170117860
CA,157943014
IA,156434149
LA,153321092
KS,147846975
MN,142806907
VA,140748481
IN,140122733
PA,134750332
WI,129741056
KY,127397342
NE,123882664
MO,123091716
SD,120375399
OK,119445127
AR,118484151
SC,111329226
WA,111310092
MS,95129993
NH,94592664
AL,84281829
NJ,81181923
TN,76180705
MA,71976073
NM,71586145
WV,68806022
MD,67601697
CO,51272670
MT,48475235
ID,46380388
UT,44965352
RI,43911285
CT,43003533
ME,40807625
WY,37592439
NV,35102734
OR,34995845
VT,34594769
DE,34177375
DC,33299895
AZ,24294876
HI,21180862
AK,16725181
PR,15577973
VI,390490
